#
# Extracted from "jb_device.h"   
# Documentation at least is "Copyright © 2006 Altera Corporation. All rights reserved"
#
# Device,        Idcode,   Max      Conf_done Instruction
#                          JTAG     JTAG      Length     
#                          Sequence,Sequence,
# Family,Part,Idcode,JtagSeq,Conf_Done Seq,InstructionLength

# ACEX 1K
"FLEX 10KE", "EPF10K50EF256", 0x110500DD, 266, 266, 10
"FLEX 10KE", "EPF10K50EQ240", 0x110500DD, 266, 266, 10
"FLEX 10KE", "EPF10K50ET144", 0x110500DD, 266, 266, 10
"FLEX 10KE", "EPF10K50SB356", 0x110500DD, 266, 266, 10
"FLEX 10KE", "EPF10K50SF256", 0x110500DD, 266, 266, 10
"FLEX 10KE", "EPF10K50SF484", 0x110500DD, 266, 266, 10
"FLEX 10KE", "EPF10K50SQ208", 0x110500DD, 266, 266, 10
"FLEX 10KE", "EPF10K50SQ240", 0x110500DD, 266, 266, 10
"FLEX 10KE", "EPF10K50ST144", 0x110500DD, 266, 266, 10
"FLEX 10KE", "EPF10K100EB356", 0x201000DD, 350, 350, 10
"FLEX 10KE", "EPF10K100EF256", 0x201000DD, 350, 350, 10
"FLEX 10KE", "EPF10K100EF484", 0x201000DD, 350, 350, 10
"FLEX 10KE", "EPF10K100EQ208", 0x201000DD, 350, 350, 10
"FLEX 10KE", "EPF10K100EQ240", 0x201000DD, 350, 350, 10
"FLEX 10KE", "EPF10K130EB356", 0x101300DD, 436, 436, 10
"FLEX 10KE", "EPF10K130EB600", 0x101300DD, 436, 436, 10
"FLEX 10KE", "EPF10K130EF484", 0x101300DD, 436, 436, 10
"FLEX 10KE", "EPF10K130EF672", 0x101300DD, 436, 436, 10
"FLEX 10KE", "EPF10K130EQ240", 0x101300DD, 436, 436, 10
"FLEX 10KE", "EPF10K200EB600", 0x102000DD, 482, 482, 10
"FLEX 10KE", "EPF10K200SB356", 0x102000DD, 482, 482, 10
"FLEX 10KE", "EPF10K200SB600", 0x102000DD, 482, 482, 10
"FLEX 10KE", "EPF10K200SF484", 0x102000DD, 482, 482, 10
"FLEX 10KE", "EPF10K200SF672", 0x102000DD, 482, 482, 10
"FLEX 10KE", "EPF10K200SR240", 0x102000DD, 482, 482, 10

# MERCURY
"MERCURY", "EP1M120F484", 0x30000DD, 375, 5, 10
"MERCURY", "EP1M350F780", 0x30010DD, 565, 7, 10

# STRATIX 
"STRATIX","EP1S10B672", 0x20010DD, 439, 391, 10
"STRATIX","EP1S10F484", 0x20010DD, 439, 391, 10
"STRATIX","EP1S10F672", 0x20010DD, 439, 391, 10
"STRATIX","EP1S10F780", 0x20010DD, 439, 391, 10
"STRATIX","EP1S10B672ES", 0x20030DD, 439, 391, 10
"STRATIX","EP1S10F484ES", 0x20030DD, 439, 391, 10
"STRATIX","EP1S10F672ES", 0x20030DD, 439, 391, 10
"STRATIX","EP1S10F780ES", 0x20030DD, 439, 391, 10
"STRATIX","EP1S20B672", 0x20020DD, 599, 533, 10
"STRATIX","EP1S20F484", 0x20020DD, 599, 533, 10
"STRATIX","EP1S20F672", 0x20020DD, 599, 533, 10
"STRATIX","EP1S20F780", 0x20020DD, 599, 533, 10
"STRATIX","EP1S25B672", 0x20030DD, 719, 635, 10
"STRATIX","EP1S25F672", 0x20030DD, 719, 635, 10
"STRATIX","EP1S25F780", 0x20030DD, 719, 635, 10
"STRATIX","EP1S25F1020", 0x20030DD, 719, 635, 10
"STRATIX","EP1S30B956", 0x20040DD, 751, 667, 10
"STRATIX","EP1S30F780", 0x20040DD, 751, 667, 10
"STRATIX","EP1S30F1020", 0x20040DD, 751, 667, 10
"STRATIX","EP1S40B956", 0x20050DD, 843, 741, 10
"STRATIX","EP1S40F780", 0x20050DD, 843, 741, 10
"STRATIX","EP1S40F1020", 0x20050DD, 843, 741, 10
"STRATIX","EP1S40F1508", 0x20050DD, 843, 741, 10
"STRATIX","EP1S60B956", 0x20060DD, 1043, 923, 10
"STRATIX","EP1S60F1020", 0x20060DD, 1043, 923, 10
"STRATIX","EP1S60F1508", 0x20060DD, 1043, 923, 10
"STRATIX","EP1S80B956", 0x20070DD, 1259, 1121, 10
"STRATIX","EP1S80F1020", 0x20070DD, 1259, 1121, 10
"STRATIX","EP1S80F1508", 0x20070DD, 1259, 1121, 10

# CYCLONE
